,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,date
0,4.7,3.7,93.0,0.0,0.0,222.0,9.0,0.0,1015.8,0.0,1.0,2023-03-23 00:00:00
1,4.5,3.5,93.0,0.0,0.0,222.0,8.6,0.0,1015.9,0.0,1.0,2023-03-23 01:00:00
2,4.2,3.0,92.0,0.0,0.0,227.0,8.3,0.0,1015.7,0.0,1.0,2023-03-23 02:00:00
3,3.8,2.3,90.0,0.0,0.0,228.0,8.6,0.0,1015.3,0.0,2.0,2023-03-23 03:00:00
4,3.8,2.3,90.0,0.0,0.0,229.0,8.3,0.0,1015.1,0.0,2.0,2023-03-23 04:00:00
5,3.8,2.2,89.0,0.0,0.0,247.0,7.6,0.0,1015.1,0.0,2.0,2023-03-23 05:00:00
6,3.2,1.9,91.0,0.0,0.0,230.0,7.9,0.0,1015.4,0.0,3.0,2023-03-23 06:00:00
7,4.4,2.9,90.0,0.0,0.0,247.0,8.3,0.0,1015.7,0.0,3.0,2023-03-23 07:00:00
8,7.9,4.5,79.0,0.0,0.0,13.0,6.1,0.0,1016.0,0.0,3.0,2023-03-23 08:00:00
9,11.4,6.3,71.0,0.0,0.0,46.0,4.7,0.0,1015.9,0.0,3.0,2023-03-23 09:00:00
10,14.9,7.4,61.0,0.0,0.0,112.0,9.7,0.0,1015.4,0.0,3.0,2023-03-23 10:00:00
11,17.8,6.9,49.0,0.0,0.0,237.0,13.7,0.0,1014.4,0.0,3.0,2023-03-23 11:00:00
12,19.0,5.8,42.0,0.0,0.0,251.0,15.8,0.0,1014.0,0.0,3.0,2023-03-23 12:00:00
13,19.1,5.2,40.0,0.0,0.0,252.0,16.6,0.0,1013.8,0.0,3.0,2023-03-23 13:00:00
14,18.7,4.8,40.0,0.0,0.0,248.0,16.6,0.0,1013.6,0.0,3.0,2023-03-23 14:00:00
15,18.3,4.8,41.0,0.0,0.0,244.0,16.6,0.0,1013.5,0.0,3.0,2023-03-23 15:00:00
16,17.6,4.9,43.0,0.0,0.0,241.0,15.1,0.0,1013.4,0.0,3.0,2023-03-23 16:00:00
17,16.4,5.7,49.0,0.0,0.0,236.0,11.2,0.0,1013.5,0.0,3.0,2023-03-23 17:00:00
18,13.7,5.3,57.0,0.0,0.0,232.0,10.4,0.0,1013.9,0.0,3.0,2023-03-23 18:00:00
19,11.4,5.1,65.0,0.0,0.0,243.0,10.4,0.0,1014.5,0.0,2.0,2023-03-23 19:00:00
20,9.6,5.4,75.0,0.0,0.0,254.0,8.6,0.0,1015.1,0.0,2.0,2023-03-23 20:00:00
21,8.6,5.2,79.0,0.0,0.0,242.0,8.6,0.0,1015.6,0.0,2.0,2023-03-23 21:00:00
22,7.6,5.1,84.0,0.0,0.0,243.0,9.0,0.0,1015.9,0.0,3.0,2023-03-23 22:00:00
23,6.8,4.8,87.0,0.0,0.0,250.0,9.4,0.0,1016.1,0.0,3.0,2023-03-23 23:00:00
