,pm2.5,datum_od,o3,pm10,co,no2
0,54.0,2023-02-15 19:00:00,1.0,67.0,0.8,86.0
0,53.0,2023-02-15 20:00:00,46.37114427860696,60.0,1.0,78.0
0,58.0,2023-02-15 21:00:00,46.37114427860696,63.0,1.3,78.0
0,63.0,2023-02-15 22:00:00,46.37114427860696,68.0,1.3,70.0
0,66.0,2023-02-15 23:00:00,46.37114427860696,71.0,1.3,60.0
0,64.0,2023-02-16 00:00:00,46.37114427860696,68.0,1.2,52.0
0,65.0,2023-02-16 01:00:00,46.37114427860696,71.0,1.1,46.0
0,64.0,2023-02-16 02:00:00,46.37114427860696,69.0,1.1,42.0
0,56.0,2023-02-16 03:00:00,46.37114427860696,61.0,0.9,37.0
0,58.0,2023-02-16 04:00:00,46.37114427860696,62.0,0.9,38.0
0,56.0,2023-02-16 05:00:00,46.37114427860696,59.0,0.3841990555757355,42.0
0,62.0,2023-02-16 06:00:00,46.37114427860696,64.0,1.0,42.0
0,53.0,2023-02-16 07:00:00,46.37114427860696,53.0,0.9,45.0
0,51.0,2023-02-16 08:00:00,2.0,53.0,0.9,46.0
0,56.0,2023-02-16 09:00:00,3.0,60.0,0.9,46.0
0,58.0,2023-02-16 10:00:00,8.0,62.0,0.8,46.0
0,60.0,2023-02-16 11:00:00,18.0,72.0,0.7,26.22096317280453
0,57.0,2023-02-16 12:00:00,22.0,72.0,0.7,54.0
0,51.0,2023-02-16 13:00:00,31.0,71.0,0.6,54.0
0,57.0,2023-02-16 14:00:00,21.0,91.0,0.7,78.0
0,65.0,2023-02-16 15:00:00,31.0,103.0,0.6,76.0
0,34.0,2023-02-16 16:00:00,94.0,46.0,0.3,22.0
0,35.0,2023-02-16 17:00:00,83.0,41.0,0.4,29.0
0,41.0,2023-02-16 18:00:00,86.0,45.0,0.3,22.0
0,39.0,2023-02-16 19:00:00,76.0,41.0,0.3,28.0
0,41.0,2023-02-16 20:00:00,48.0,45.0,0.5,52.0
0,44.0,2023-02-16 21:00:00,22.0,47.0,0.6,75.0
0,49.0,2023-02-16 22:00:00,6.0,52.0,0.7,83.0
0,60.0,2023-02-16 23:00:00,4.0,63.0,0.8,72.0
0,60.0,2023-02-17 00:00:00,9.0,63.0,0.8,55.0
0,59.0,2023-02-17 01:00:00,14.0,62.0,0.7,42.0
0,59.0,2023-02-17 02:00:00,13.0,62.0,0.7,36.0
0,64.0,2023-02-17 03:00:00,11.0,68.0,0.7,34.0
0,54.0,2023-02-17 04:00:00,46.37114427860696,57.0,0.6,30.0
0,51.0,2023-02-17 05:00:00,6.0,54.0,0.6,36.0
0,50.0,2023-02-17 06:00:00,46.37114427860696,53.0,0.3841990555757355,46.0
0,50.0,2023-02-17 07:00:00,46.37114427860696,55.0,0.9,55.0
0,53.0,2023-02-17 08:00:00,3.0,59.0,0.8,53.0
0,50.0,2023-02-17 09:00:00,11.0,56.0,0.6,49.0
0,52.0,2023-02-17 10:00:00,16.0,64.0,0.6,57.0
0,47.0,2023-02-17 11:00:00,44.0,60.0,0.4,40.0
0,40.0,2023-02-17 12:00:00,82.0,53.0,0.3,26.22096317280453
0,26.0,2023-02-17 13:00:00,91.0,33.0,0.2,13.0
0,30.0,2023-02-17 14:00:00,92.0,35.0,0.3,13.0
0,39.0,2023-02-17 15:00:00,91.0,44.0,0.3,16.0
0,39.0,2023-02-17 16:00:00,94.0,45.0,0.3,15.0
0,39.0,2023-02-17 17:00:00,96.0,43.0,0.3,14.0
0,36.0,2023-02-17 18:00:00,99.0,40.0,0.3,12.0
0,36.0,2023-02-17 19:00:00,99.0,39.0,0.3,12.0
0,38.0,2023-02-17 20:00:00,101.0,40.0,0.3,10.0
0,40.0,2023-02-17 21:00:00,100.0,43.0,0.3,10.0
0,43.0,2023-02-17 22:00:00,99.0,45.0,0.3,9.0
0,44.0,2023-02-17 23:00:00,98.0,46.0,0.3,7.0
0,40.0,2023-02-18 00:00:00,92.0,42.0,0.3,7.0
0,43.0,2023-02-18 01:00:00,91.0,46.0,0.3,7.0
0,45.0,2023-02-18 02:00:00,87.0,47.0,0.3,7.0
0,48.0,2023-02-18 03:00:00,90.0,51.0,0.3,7.0
0,52.0,2023-02-18 04:00:00,46.37114427860696,55.0,0.3,7.0
0,54.0,2023-02-18 05:00:00,91.0,56.0,0.3,8.0
0,58.0,2023-02-18 06:00:00,86.0,61.0,0.3841990555757355,8.0
0,62.0,2023-02-18 07:00:00,81.0,65.0,0.3,9.0
0,63.0,2023-02-18 08:00:00,77.0,67.0,0.3,12.0
0,60.0,2023-02-18 09:00:00,69.0,64.0,0.3,17.0
0,48.0,2023-02-18 10:00:00,74.0,53.0,0.3,12.0
0,43.0,2023-02-18 11:00:00,74.0,49.0,0.3,11.0
0,41.0,2023-02-18 12:00:00,75.0,48.0,0.3,26.22096317280453
0,38.0,2023-02-18 13:00:00,77.0,45.0,0.3,10.0
0,35.0,2023-02-18 14:00:00,79.0,40.0,0.2,8.0
0,32.0,2023-02-18 15:00:00,81.0,37.0,0.2,9.0
0,31.0,2023-02-18 16:00:00,82.0,35.0,0.2,11.0
0,30.0,2023-02-18 17:00:00,83.0,35.0,0.3,12.0
0,27.0,2023-02-18 18:00:00,90.0,31.0,0.2,9.0
0,23.0,2023-02-18 19:00:00,95.0,25.0,0.2,8.0
0,22.0,2023-02-18 20:00:00,95.0,24.0,0.2,8.0
0,29.0,2023-02-18 21:00:00,93.0,31.0,0.2,8.0
0,38.0,2023-02-18 22:00:00,91.0,41.0,0.3,8.0
0,38.0,2023-02-18 23:00:00,92.0,41.0,0.3,7.0
0,35.0,2023-02-19 00:00:00,91.0,37.0,0.2,7.0
0,30.0,2023-02-19 01:00:00,90.0,33.0,0.2,6.0
0,24.0,2023-02-19 02:00:00,88.0,26.0,0.2,6.0
0,21.0,2023-02-19 03:00:00,87.0,22.0,0.2,6.0
0,20.0,2023-02-19 04:00:00,86.0,23.0,0.2,6.0
0,23.0,2023-02-19 05:00:00,46.37114427860696,25.0,0.2,6.0
0,22.0,2023-02-19 06:00:00,78.0,23.0,0.2,8.0
0,25.0,2023-02-19 07:00:00,59.0,26.0,0.3841990555757355,17.0
0,27.0,2023-02-19 08:00:00,52.0,28.0,0.3,20.0
0,27.0,2023-02-19 09:00:00,62.0,29.0,0.3,17.0
0,22.0,2023-02-19 10:00:00,77.0,24.0,0.2,8.0
0,22.0,2023-02-19 11:00:00,76.0,25.0,0.2,8.0
0,23.0,2023-02-19 12:00:00,76.0,26.0,0.2,7.0
