,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
0,2023-02-20 00:00:00,0.2,-0.2,97.0,0.0,0.0,242.0,7.2,0.0,1026.6,0.0,5
1,2023-02-20 01:00:00,0.6,0.5,99.0,0.0,0.0,235.0,7.2,0.0,1026.9,0.0,5
2,2023-02-20 02:00:00,0.4,0.3,99.0,0.0,0.0,190.0,6.8,0.0,1027.6,0.0,5
3,2023-02-20 03:00:00,0.6,0.5,99.0,0.0,0.0,131.0,4.3,0.0,1027.8,0.0,5
4,2023-02-20 04:00:00,0.5,0.2,98.0,0.0,0.0,150.0,3.6,0.0,1028.2,0.0,5
5,2023-02-20 05:00:00,0.3,0.0,98.0,0.0,0.0,219.0,3.6,0.0,1028.6,0.0,5
6,2023-02-20 06:00:00,1.1,1.0,99.0,0.0,0.0,181.0,4.3,0.0,1028.6,0.0,5
7,2023-02-20 07:00:00,1.0,0.9,99.0,0.0,0.0,270.0,3.6,0.0,1028.9,0.0,5
8,2023-02-20 08:00:00,1.7,1.4,98.0,0.0,0.0,342.0,4.0,0.0,1029.7,0.0,5
9,2023-02-20 09:00:00,3.2,2.3,94.0,0.0,0.0,310.0,2.5,0.0,1029.6,0.0,5
10,2023-02-20 10:00:00,5.5,3.2,85.0,0.0,0.0,152.0,2.5,0.0,1029.1,0.0,5
11,2023-02-20 11:00:00,7.2,4.5,83.0,0.0,0.0,11.0,3.2,0.0,1028.3,0.0,3
12,2023-02-20 12:00:00,9.7,5.3,74.0,0.0,0.0,42.0,4.0,0.0,1027.1,0.0,3
13,2023-02-20 13:00:00,12.1,5.9,66.0,0.0,0.0,51.0,4.7,0.0,1025.6,0.0,3
14,2023-02-20 14:00:00,13.9,6.5,61.0,0.0,0.0,356.0,9.4,0.0,1024.2,0.0,3
15,2023-02-20 15:00:00,14.5,6.3,58.0,0.0,0.0,259.0,15.8,0.0,1023.5,0.0,3
16,2023-02-20 16:00:00,12.2,5.6,64.0,0.0,0.0,244.0,15.1,0.0,1023.4,0.0,3
17,2023-02-20 17:00:00,9.8,5.6,75.0,0.0,0.0,253.0,11.5,0.0,1023.7,0.0,3
18,2023-02-20 18:00:00,6.3,4.1,86.0,0.0,0.0,249.0,9.7,0.0,1024.0,0.0,2
19,2023-02-20 19:00:00,5.0,3.8,92.0,0.0,0.0,236.0,10.4,0.0,1024.1,0.0,1
20,2023-02-20 20:00:00,4.2,3.3,94.0,0.0,0.0,239.0,12.6,0.0,1024.2,0.0,1
21,2023-02-20 21:00:00,4.9,3.6,91.0,0.0,0.0,243.0,13.0,0.0,1023.9,0.0,1
22,2023-02-20 22:00:00,4.1,2.9,92.0,0.0,0.0,244.0,11.9,0.0,1023.9,0.0,2
23,2023-02-20 23:00:00,3.3,2.3,93.0,0.0,0.0,248.0,11.5,0.0,1023.4,0.0,1
24,2023-02-21 00:00:00,2.5,1.6,94.0,0.0,0.0,236.0,10.8,0.0,1023.0,0.0,2
25,2023-02-21 01:00:00,2.1,1.2,94.0,0.0,0.0,240.0,11.9,0.0,1022.6,0.0,3
26,2023-02-21 02:00:00,2.1,1.2,94.0,0.0,0.0,257.0,13.3,0.0,1022.3,0.0,3
27,2023-02-21 03:00:00,2.3,1.1,92.0,0.0,0.0,265.0,13.0,0.0,1022.2,0.0,3
28,2023-02-21 04:00:00,2.7,1.5,92.0,0.0,0.0,254.0,13.0,0.0,1021.9,0.0,3
29,2023-02-21 05:00:00,3.6,2.4,92.0,0.0,0.0,249.0,13.0,0.0,1021.7,0.0,3
